,,
,,
Tracks,Suggested Themes,ID #
,,
1-MATERIALS TRACK:,Geopolymers: Sustainable Materials for Enhanced Strength,CV1.1
,Recycling Waste Materials for Enhanced Concrete Properties,CV1.2
,3D Printing for Concrete Construction,CV1.3
,Enhancing Concrete Properties with Polymer Modifications,CV1.4
,Ultra High-Performance Concrete Innovations and Applications,CV1.5
,Pervious Concrete for Sustainable Urban Drainage,CV1.6
,Lightweight Concrete Properties and Applications,CV1.7
,Enhancing Cementitious Materials with Nanomaterials,CV1.8
,Underwater Concrete Performance and Applications,CV1.9
,Reclaimed Asphalt Pavement Innovations in Binder Performance,CV1.10
,Artificial Intelligence Models for Concrete Strength Prediction,CV1.11
,,
2-STRUCTURAL TRACK:,Smart Concrete Innovations for Structural Resilience,CV2.1
,Lateral Pressure Dynamics in Self-Consolidating Concrete,CV2.2
,Mechanical Behavior of Composite Beams and Slabs,CV2.3
,Prestressing Innovations in Concrete Structures,CV2.4
,Fiber Reinforced Concrete for Structural Applications,CV2.5
,Optimal Sensor Placement for Structural Health Monitoring,CV2.6
,Fracture Mechanics and Size Effect in Concrete,CV2.7
,,
,,
3-TRANSPORTATION TRACK:,Warm Mix Asphalt Innovations for Sustainable Paving,CV3.1
,Urban Transportation and Land Use Dynamics,CV3.2
,Traffic Network Optimization and Capacity Modeling,CV3.3
,Integrated Strategies for Sustainable Urban Transport,CV3.4
,LiDAR and GIS Applications in Urban Modeling and Classification,CV3.5
,Geospatial Strategies for Renewable Energy Site Selection,CV3.6
,,
,,
4-GEOTECHNICAL TRACK:,Fiber Reinforcement Techniques for Soil Strength Enhancement,CV4.1
,Strength and Sustainability of Earth Materials,CV4.2
,Use of Soil Mechanic Principles to Cementitious Applications,CV4.3
,,
,,
5-CONSTRUCTION MANAGEMENT TRACK:,Predictive Models for Bridge Condition Management,CV5.1
,Fuzzy Multi-Criteria Decision-Making Framework,CV5.2
,Integrated Strategies for Sustainable Urban Transport,CV5.3
,Traffic Network Optimization and Capacity Modeling,CV5.4
,Framework for Urban Social Sustainability Development,CV5.5
,,
,,
6-WATER RESOURCES TRACK:,Salinization Dynamics in Coastal Aquifers,CV6.1
,Pesticide Residues and Water Quality Management,CV6.2
,Chemical Dynamics of Cloud Water and Fog Deposition,CV6.3
,Climate Change Effects on Groundwater Resources,CV6.4
,Wastewater Surveillance for SARS-CoV-2 Detection,CV6.5
,,
,,
7-ENVIRONMENTAL TRACK:,Chemical Waste Management and Heavy Metal Recovery,CV7.1
,Health Risks and Environmental Impact of Polycyclic Aromatic Hydrocarbons,CV7.2
,Environmental Risks of Organochlorine Pesticides and PCBs,CV7.3
,Organic Carbon Emissions from Biomass Burning Aerosols,CV7.4
,Fog Formation and Prediction in Atmospheric Studies,CV7.5
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
