,Total no.,Doc no.,Dept.,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID,
J. Doumit,1,1,Computer Engineering,Doumit J.; Youssef M.-J.; Nour C.A.; Farah J.; Douillard C.,"Doumit, Joseph (57322166800); Youssef, Marie-Josepha (57195962914); Nour, Charbel Abdel (17435125600); Farah, Joumana (7004325252); Douillard, Catherine (6603247284)",57322166800; 57195962914; 17435125600; 7004325252; 6603247284,Resource Allocation in Full-Duplex Uncoordinated Communication Systems with NOMA,2021,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC",2021-September,,,1104,1110,6,3,10.1109/PIMRC50174.2021.9569356,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118434867&doi=10.1109%2fPIMRC50174.2021.9569356&partnerID=40&md5=7408d9c5755563a2a8e00321b4c68c15,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85118434867,
,2,2,Computer Engineering,Doumit J.; Youssef M.-J.; Nour C.A.; Farah J.; Douillard C.,"Doumit, Joseph (57322166800); Youssef, Marie-Josepha (57195962914); Nour, Charbel Abdel (17435125600); Farah, Joumana (7004325252); Douillard, Catherine (6603247284)",57322166800; 57195962914; 17435125600; 7004325252; 6603247284,Uncoordinated Spectrum Access for Massive Connectivity in IoT Applications,2024,IEEE Internet of Things Magazine,7,2,,78,84,6,1,10.1109/IOTM.001.2300125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193907904&doi=10.1109%2fIOTM.001.2300125&partnerID=40&md5=f149684ee1214b3fb4cd9d76667379ac,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85193907904,
,3,3,Computer Engineering,Doumit J.; Youssef M.-J.; Nour C.A.; Farah J.; Douillard C.,"Doumit, Joseph (57322166800); Youssef, Marie-Josepha (57195962914); Nour, Charbel Abdel (17435125600); Farah, Joumana (7004325252); Douillard, Catherine (6603247284)",57322166800; 57195962914; 17435125600; 7004325252; 6603247284,AoI Minimization in Mixed Traffic Full-Duplex Uncoordinated Communication Systems with NOMA,2024,IEEE Internet of Things Journal,11,2,,2830,2841,11,8,10.1109/JIOT.2023.3296437,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165292212&doi=10.1109%2fJIOT.2023.3296437&partnerID=40&md5=922c1be6996ecfd09bd8a1cb895da663,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85165292212,
,4,4,Computer Engineering,Ousseily M.; Farah J.; Crussière M.; Doumit J.; Abdel Nour C.; Pierre Simon E.,"Ousseily, Mohamad (60156637400); Farah, Joumana (7004325252); Crussière, Matthieu (8214997400); Doumit, Joseph (57322166800); Abdel Nour, Charbel (17435125600); Pierre Simon, Eric (60165527300)",60156637400; 7004325252; 8214997400; 57322166800; 17435125600; 60165527300,Uncoordinated RIS-Aided Uplink IoT Cell-Free Massive MIMO-NOMA Systems,2025,IEEE Open Journal of the Communications Society,6,,,9008,9026,18,0,10.1109/OJCOMS.2025.3623368,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019755742&doi=10.1109%2fOJCOMS.2025.3623368&partnerID=40&md5=473ac70a908fb4c604d36c66288feaba,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105019755742,
,5,5,Computer Engineering,Doumit J.; Youssef M.-J.; Nour C.A.; Douillard C.,"Doumit, Joseph (57322166800); Youssef, Marie-Josépha (57195962914); Nour, Charbel Abdel (17435125600); Douillard, Catherine (6603247284)",57322166800; 57195962914; 17435125600; 6603247284,Deep Reinforcement Learning for the Coexistence of eMBB and URLLC Services in NOMA Systems,2025,IEEE International Conference on Communications,,,,5265,5270,5,0,10.1109/ICC52391.2025.11161603,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018458650&doi=10.1109%2fICC52391.2025.11161603&partnerID=40&md5=bb54612022d66ac3d3110254b5c8a7bc,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-105018458650,
A. Alameddine,,0,Computer Engineering,,,,,,,,,,,,,,,,,,,,,
I. Dagher,6,1,Computer Engineering,Dagher I.; Antoun R.,"Dagher, Issam (6603784732); Antoun, Rima (57193625961)",6603784732; 57193625961,Ham-Spam Filtering Using Different PCA Scenarios,2017,"Proceedings - 19th IEEE International Conference on Computational Science and Engineering, 14th IEEE International Conference on Embedded and Ubiquitous Computing and 15th International Symposium on Distributed Computing and Applications to Business, Engineering and Science, CSE-EUC-DCABES 2016",,,7982300,542,545,3,5,10.1109/CSE-EUC-DCABES.2016.238,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026631721&doi=10.1109%2fCSE-EUC-DCABES.2016.238&partnerID=40&md5=0fd37ce6032c49bb174d9ef6a6fc780d,Conference paper,Final,,Scopus,2-s2.0-85026631721,
,7,2,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,Incremental PCA-LDA algorithm,2010,"CIMSA 2010 - IEEE International Conference on Computational Intelligence for Measurement Systems and Applications, Proceedings",,,5611752,97,101,4,26,10.1109/CIMSA.2010.5611752,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649601200&doi=10.1109%2fCIMSA.2010.5611752&partnerID=40&md5=78dabae96ccf5ecbc0ebe810c5ab7d98,Conference paper,Final,,Scopus,2-s2.0-78649601200,
,8,3,Computer Engineering,Dagher I.; Makary A.,"Dagher, Issam (6603784732); Makary, Antonio (59939602400)",6603784732; 59939602400,Detection to Framework for Traffic Signs Using a Hybrid Approach,2025,IEEE Access,13,,,160619,160626,7,2,10.1109/ACCESS.2025.3606754,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015220637&doi=10.1109%2fACCESS.2025.3606754&partnerID=40&md5=0bd766e084d8de305ecf3f3256cbba51,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105015220637,
,9,4,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,Highly-compacted DCT coefficients,2010,"Signal, Image and Video Processing",4,3,,303,307,4,6,10.1007/s11760-009-0119-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955851221&doi=10.1007%2fs11760-009-0119-2&partnerID=40&md5=b69cfe336983b4219d0b1b3a76732d8c,Article,Final,,Scopus,2-s2.0-77955851221,
