,Total no.,Doc no.,Dept.,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID,
M. Nakad,1,1,Sustainability for Engineering ,Atallah C.; El Abiad A.; El Abiad M.; Nakad M.; Assaf J.C.,"Atallah, Cherelle (60157768400); El Abiad, Ayline (60158781000); El Abiad, Marita (60158613300); Nakad, Mantoura (58093084700); Assaf, Jean Claude (57200273084)",60157768400; 60158781000; 60158613300; 58093084700; 57200273084,Bioengineered Skin Microbiome: The Next Frontier in Personalized Cosmetics,2025,Cosmetics,12,5,205,,,,0,10.3390/cosmetics12050205,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019931932&doi=10.3390%2fcosmetics12050205&partnerID=40&md5=76a117fe2c2a0646f6452279b39b6149,Review,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105019931932,
,2,2,Sustainability for Engineering ,Nakad M.; Kövesi K.,"Nakad, M. (58093084700); Kövesi, K. (57189307680)",58093084700; 57189307680,WHAT ABOUT SUSTAINABILITY? INVESTIGATING ENGINEERING STUDENTS' SUSTAINABILITY AWARENESS AND ATTITUDE,2022,"SEFI 2022 - 50th Annual Conference of the European Society for Engineering Education, Proceedings",,,,541,549,8,4,10.5821/conference-9788412322262.1185,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147512545&doi=10.5821%2fconference-9788412322262.1185&partnerID=40&md5=4fa2fc0401035aacd689a273c1aa6494,Conference paper,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85147512545,
,3,3,Sustainability for Engineering ,Najahi H.; Banni M.; Nakad M.; Abboud R.; Assaf J.C.; Operato L.; Belhassen M.; Gomes L.; Hamd W.,"Najahi, Hana (57800537900); Banni, Mohamed (8529073400); Nakad, Mantoura (58093084700); Abboud, Rami (35617428000); Assaf, Jean Claude (57200273084); Operato, Luigi (58064477800); Belhassen, Malika (23099393400); Gomes, Leonardo (59674962900); Hamd, Wael (26536028700)",57800537900; 8529073400; 58093084700; 35617428000; 57200273084; 58064477800; 23099393400; 59674962900; 26536028700,"Plastic pollution in food packaging systems: impact on human health, socioeconomic considerations and regulatory framework",2025,Journal of Hazardous Materials Advances,18,,100667,,,,20,10.1016/j.hazadv.2025.100667,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000331906&doi=10.1016%2fj.hazadv.2025.100667&partnerID=40&md5=042ac0dceebc6c494ea04bbdf9322135,Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-86000331906,
,4,4,Sustainability for Engineering ,Nakad M.; Gardelle L.; Abboud R.J.,"Nakad, Mantoura (58093084700); Gardelle, Linda (55872008900); Abboud, Rami J. (35617428000)",58093084700; 55872008900; 35617428000,A Systematic Review of the Different Methods Assessing Sustainability Integration in Engineering Curricula,2024,Sustainability (Switzerland) ,16,11,4549,,,,15,10.3390/su16114549,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195856448&doi=10.3390%2fsu16114549&partnerID=40&md5=2d57d598b17116d183bd6b668e7bdd90,Review,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85195856448,
,5,5,Sustainability for Engineering ,El Marji L.; Sharara M.; El Chakik D.; Nakad M.; Assaf J.C.; Estephane J.,"El Marji, Lea (60119997800); Sharara, Mohammad (58189550500); El Chakik, Dana (60387772500); Nakad, Mantoura (58093084700); Assaf, Jean Claude (57200273084); Estephane, Jane (18436394400)",60119997800; 58189550500; 60387772500; 58093084700; 57200273084; 18436394400,"A Comparative Review of Biomass Conversion to Biodiesel with a Focus on Sunflower Oil: Production Pathways, Sustainability, and Challenges",2026,Processes,14,3,441,,,,0,10.3390/pr14030441,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030102662&doi=10.3390%2fpr14030441&partnerID=40&md5=e63ff735f0c44cc383eee2fbb90d141a,Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105030102662,
,6,6,Sustainability for Engineering ,Hamd W.; El Bitar V.; Nakad M.; Daher E.A.,"Hamd, Wael (26536028700); El Bitar, Vanessa (60139385200); Nakad, Mantoura (58093084700); Daher, Elie A. (58708776500)",26536028700; 60139385200; 58093084700; 58708776500,"Correction: Tiny pollutants, big consequences: investigating the influence of nano- and microplastics on soil properties and plant health with mitigation strategies (Environmental Science: Processes and Impacts (2025) 27 (860-877) DOI: 10.1039/D4EM00688G)",2025,Environmental Science: Processes and Impacts,,,,,,,0,10.1039/d5em90034d,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018700668&doi=10.1039%2fd5em90034d&partnerID=40&md5=f923e2098ecc7883971c7c751e7551e9,Erratum,Article in press,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105018700668,
,7,7,Sustainability for Engineering ,Nakad M.; Kovesi K.; Gardelle L.; Abboud R.J.,"Nakad, Mantoura (58093084700); Kovesi, Klara (57189307680); Gardelle, Linda (55872008900); Abboud, Rami J (35617428000)",58093084700; 57189307680; 55872008900; 35617428000,Engineering Students' Perceptions Towards Promoting Sustainability,2023,"IEEE Global Engineering Education Conference, EDUCON",2023-May,,,,,,5,10.1109/EDUCON54358.2023.10125179,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162730777&doi=10.1109%2fEDUCON54358.2023.10125179&partnerID=40&md5=10d9af42ead0e201993e962d2db7269e,Conference paper,Final,,Scopus,2-s2.0-85162730777,
,8,8,Sustainability for Engineering ,Sarkis S.; Assaf J.C.; Nakad M.; Tannous T.; Harmouche-Karaki M.; Helou K.; Matta J.,"Sarkis, Sandra (59963080800); Assaf, Jean Claude (57200273084); Nakad, Mantoura (58093084700); Tannous, Tony (59467440500); Harmouche-Karaki, Mireille (57192105644); Helou, Khalil (57189015237); Matta, Joseph (57192711907)",59963080800; 57200273084; 58093084700; 59467440500; 57192105644; 57189015237; 57192711907,Investigating PCBs and OCPs in Lebanese Yogurt: National Contamination Patterns and Health Risk Assessment,2025,Foods,14,16,2866,,,,1,10.3390/foods14162866,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014609660&doi=10.3390%2ffoods14162866&partnerID=40&md5=01a0c774782fdfe64f88c93ae81044b2,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105014609660,
,9,9,Sustainability for Engineering ,Wael H.; Vanessa E.B.; Mantoura N.; Antonios D.E.,"Wael, H. (26536028700); Vanessa, E.B. (59700393000); Mantoura, N. (58093084700); Antonios, D. Elie (59699802100)",26536028700; 59700393000; 58093084700; 59699802100,"Tiny pollutants, big consequences: investigating the influence of nano- and microplastics on soil properties and plant health with mitigation strategies",2025,Environmental Science: Processes and Impacts,27,4,,860,877,17,1,10.1039/d4em00688g,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000221394&doi=10.1039%2fd4em00688g&partnerID=40&md5=ca7a493313289346ed7ca52bcb494f78,Review,Final,,Scopus,2-s2.0-105000221394,
,10,10,Sustainability for Engineering ,Iaaly A.; Daou P.; Nakad M.; Abboud R.J.,"Iaaly, Amal (56106341800); Daou, Patrick (59276057400); Nakad, Mantoura (58093084700); Abboud, Rami J. (35617428000)",56106341800; 59276057400; 58093084700; 35617428000,E-assessment and e-proctoring implementation during coronavirus pandemic: A participatory study using socio-technical systems theory,2025,Education and Information Technologies,30,5,102505,6583,6616,33,3,10.1007/s10639-024-13078-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001973206&doi=10.1007%2fs10639-024-13078-z&partnerID=40&md5=fef5e4b6d19bb317807b87816854f5c8,Article,Final,,Scopus,2-s2.0-105001973206,
