Tracks,ID #,Themes
0. Miscellaneous,CH0.1,Miscellaneous
1. Environmental Pollution and Treatment,CH1.1,"Environmental Impact, Life Cycle Assessment, and Sustainability"
,CH1.2,Plastic Pollution and Microplastics Management
,CH1.3,"Environmental Systems, Water Treatment & Pollution Control"
2. Catalysis and Reaction Engineering,CH2.1,Advanced Catalysis & Reaction Engineering for Energy and Decarbonization
,CH2.2,"Bioenergy, Biomass Conversion & Carbon Valorization"
3. Advanced Materials and Functional Nanomaterials,CH3.1,Metal Complexes & Catalytic Systems
,CH3.2,Photocatalytic and Functional Nanomaterials
4. Food Safety and Processing Engineering,CH4.1,Food Safety & Contaminant Mitigation Technologies
,CH4.2,Food Processing and Physical Properties
5. Biochemical and Bioprocess Systems,CH5.1,Microbial Systems & Biotechnological Applications
6. Sustainable Materials and Infrastructure,CH6.1,"Green Roofs, Sustainable Buildings, and Infrastructure Materials"
,,
,,
