,Total no.,Doc no.,Dept.,Theme No.,Theme title,Authors,Author full names,Author(s) ID,Title,Year,SDG,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
J. Rishmany ,1,1,Mechanical Engineering,ME3.3,"Mechanical System Design, Structural Analysis & Applied Mechanics",Rishmany J.; Renault L.; Mabru C.; Chieragatti R.; Rezaï Aria F.,"Rishmany, J. (56426992700); Renault, L. (56396416900); Mabru, C. (6602821510); Chieragatti, R. (6603659356); Rezaï Aria, F. (6602161217)",56426992700; 56396416900; 6602821510; 6603659356; 6602161217,Static and dynamic behavior of a 3D-periodic structure,2006,,Fracture of Nano and Engineering Materials and Structures - Proceedings of the 16th European Conference of Fracture,,,,609,610,1,0,10.1007/1-4020-4972-2_302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908262461&doi=10.1007%2f1-4020-4972-2_302&partnerID=40&md5=b9bc4493624c08357be742eda989444d,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-84908262461
,2,2,Mechanical Engineering,ME3.3,"Mechanical System Design, Structural Analysis & Applied Mechanics",Rishmany J.; Mabru C.; Chieragatti R.; Rezaï Aria F.,"Rishmany, J. (56426992700); Mabru, C. (6602821510); Chieragatti, R. (6603659356); Rezaï Aria, F. (6602161217)",56426992700; 6602821510; 6603659356; 6602161217,Simplified modelling of the behaviour of 3D-periodic structures such as aircraft heat exchangers,2008,,International Journal of Mechanical Sciences,50,6,,1114,1122,8,12,10.1016/j.ijmecsci.2008.01.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-43849102035&doi=10.1016%2fj.ijmecsci.2008.01.006&partnerID=40&md5=49f79507b2785d4ef91ebfb567758dca,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-43849102035
,3,3,Mechanical Engineering,ME1.2,"Hybrid Energy Systems, Energy Planning, and Resource Nexus",Rishmany J.; Daaboul M.; Tawk I.; Saba N.,"Rishmany, Jihad (56426992700); Daaboul, Michel (25640685600); Tawk, Issam (16311049700); Saba, Nicolas (36706524000)",56426992700; 25640685600; 16311049700; 36706524000,Investigation on solar-powered turbines using refrigerant R-134A,2014,7,"American Society of Mechanical Engineers, Power Division (Publication) POWER",2,,,,,,0,10.1115/POWER2014-32088,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911974861&doi=10.1115%2fPOWER2014-32088&partnerID=40&md5=07c427020a7e177b5e46c3a3d96cccd1,Conference paper,Final,,Scopus,2-s2.0-84911974861
,4,4,Mechanical Engineering,ME3.1,Composite Materials & Fracture Mechanics,Tawk I.; Rishmany J.; Saba N.; Mahmoud B.,"Tawk, Issam (16311049700); Rishmany, Jihad (56426992700); Saba, Nicolas (36706524000); Mahmoud, Bassam (57194072065)",16311049700; 56426992700; 36706524000; 57194072065,Experimental study of the interlaminar fracture of composite materials in mode III,2016,,ECCM 2016 - Proceeding of the 17th European Conference on Composite Materials,,,,,,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018582832&partnerID=40&md5=5106f0f4bc51ad746d3b75ecf6a192fa,Conference paper,Final,,Scopus,2-s2.0-85018582832
,5,5,Mechanical Engineering,ME3.3,"Mechanical System Design, Structural Analysis & Applied Mechanics",Rishmany J.; Tawk I.; Gergess A.,"Rishmany, Jihad (56426992700); Tawk, Issam (16311049700); Gergess, Antoine (6507199552)",56426992700; 16311049700; 6507199552,Finite element modelling of a cold curved steel plate girder,2018,,International Journal of Structural Engineering,9,1,,1,25,24,2,10.1504/IJSTRUCTE.2018.090747,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045058014&doi=10.1504%2fIJSTRUCTE.2018.090747&partnerID=40&md5=5a418e1667257dbc4bb19dcad65653f6,Article,Final,,Scopus,2-s2.0-85045058014
,6,6,Mechanical Engineering,ME4.2,"Smart Mechanical Design, Mechatronics & Emerging Applications",Rishmany J.; Sabiini G.,"Rishmany, Jihad (56426992700); Sabiini, Guitta (56624447700)",56426992700; 56624447700,Interaction magnetic field formulation of permanent magnets based on Baker's rotational magnetic propulsion device,2019,,International Journal of Electric and Hybrid Vehicles,11,2,,152,169,17,2,10.1504/IJEHV.2019.099984,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066813882&doi=10.1504%2fIJEHV.2019.099984&partnerID=40&md5=79e9e2c7868c743f489564b9d10b0ef0,Article,Final,,Scopus,2-s2.0-85066813882
,7,7,Mechanical Engineering,ME3.1,Composite Materials & Fracture Mechanics,Tawk I.; Rishmany J.; Saba J.; Navarro P.; Ferrero J.-F.,"Tawk, I. (16311049700); Rishmany, J. (56426992700); Saba, J. (36706524000); Navarro, P. (35320474200); Ferrero, J.-F. (7101803358)",16311049700; 56426992700; 36706524000; 35320474200; 7101803358,Experimental study of the interlaminar fracture of composite materials in mode III by MSCB test,2020,,Composite Structures,233,,111548,,,,7,10.1016/j.compstruct.2019.111548,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075450651&doi=10.1016%2fj.compstruct.2019.111548&partnerID=40&md5=9e6f16fb9e3cd630e88400412e5b55d7,Article,Final,,Scopus,2-s2.0-85075450651
,8,8,Mechanical Engineering,ME4.2,"Smart Mechanical Design, Mechatronics & Emerging Applications",Wahidi M.; Imad R.; Rishmany J.,"Wahidi, Malek (58396810000); Imad, Rodrigue (26767816900); Rishmany, Jihad (56426992700)",58396810000; 26767816900; 56426992700,A Highly Efficient Computer Vision Approach for Tennis Ball Retrieval with Limited Computational Power,2023,7,Lecture Notes in Networks and Systems,700 LNNS,,,192,203,11,0,10.1007/978-3-031-33743-7_16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163330282&doi=10.1007%2f978-3-031-33743-7_16&partnerID=40&md5=1b84f997338b55ace9fb87ef43f7c6d1,Conference paper,Final,,Scopus,2-s2.0-85163330282
,9,9,Mechanical Engineering,ME4.2,"Smart Mechanical Design, Mechatronics & Emerging Applications",Rishmany J.; Sabiini G.; Mansour A.; Imad R.,"Rishmany, Jihad (56426992700); Sabiini, Guitta (56624447700); Mansour, Ali (58304087100); Imad, Rodrigue (26767816900)",56426992700; 56624447700; 58304087100; 26767816900,Generating rectilinear motion using permanent magnets,2023,9,Journal of Engineering and Applied Science,70,1,57,,,,2,10.1186/s44147-023-00231-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161015356&doi=10.1186%2fs44147-023-00231-7&partnerID=40&md5=7cab6ce03869c7c856d265570659133d,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85161015356
,10,10,Mechanical Engineering,ME1.1,"Wind, Solar PV, and Wave Energy Conversion",Alomar Z.; Khoury G.; Rishmany J.; Daaboul M.,"Alomar, Zaki (57218710427); Khoury, Gerard (58408244900); Rishmany, Jihad (56426992700); Daaboul, Michel (25640685600)",57218710427; 58408244900; 56426992700; 25640685600,NUMERICAL AND EXPERIMENTAL STUDY ON THE EFFECT OF OVERLAP ON SAVONIUS WIND TURBINE,2023,"7,9",International Journal of Power and Energy Systems,43,10,,,,,4,10.2316/J.2023.203-0450,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163652046&doi=10.2316%2fJ.2023.203-0450&partnerID=40&md5=c02557ebab0908be9748e01a98e75980,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85163652046
